Minggu,PHP: (Indonesia),JavaScript: (Indonesia),Python: (Indonesia),Java: (Indonesia),C++: (Indonesia)
10/27/2019,98,57,54,78,52
11/3/2019,95,60,53,79,45
11/10/2019,88,60,52,76,46
11/17/2019,95,58,54,71,48
11/24/2019,94,59,53,74,45
12/1/2019,89,54,49,73,43
12/8/2019,91,58,49,73,40
12/15/2019,90,55,46,72,32
12/22/2019,78,44,39,52,21
12/29/2019,85,44,33,54,21
1/5/2020,89,57,44,67,34
1/12/2020,89,57,43,66,32
1/19/2020,93,57,42,64,28
1/26/2020,94,56,42,64,27
2/2/2020,96,57,45,64,26
2/9/2020,93,58,50,66,29
2/16/2020,100,63,51,67,28
2/23/2020,95,61,51,65,29
3/1/2020,95,60,53,66,34
3/8/2020,92,65,54,71,38
3/15/2020,77,51,43,60,28
3/22/2020,70,46,41,55,31
3/29/2020,76,48,40,59,30
4/5/2020,76,48,43,61,31
4/12/2020,78,60,47,57,29
4/19/2020,75,55,53,62,27
4/26/2020,82,53,49,58,28
5/3/2020,76,54,50,58,34
5/10/2020,80,56,49,62,32
5/17/2020,75,50,41,53,20
5/24/2020,73,51,42,49,17
5/31/2020,76,50,40,51,24
6/7/2020,78,50,43,56,28
6/14/2020,81,61,53,61,24
6/21/2020,91,61,48,57,22
6/28/2020,83,56,46,54,19
7/5/2020,88,60,45,55,18
7/12/2020,87,53,42,49,17
7/19/2020,77,52,38,47,15
7/26/2020,74,49,35,45,14
8/2/2020,77,49,37,46,14
8/9/2020,70,50,36,45,14
8/16/2020,69,46,33,42,13
8/23/2020,83,50,37,45,15
8/30/2020,69,53,41,47,15
9/6/2020,68,51,40,48,16
9/13/2020,72,50,43,48,20
9/20/2020,73,47,45,53,23
9/27/2020,64,42,44,52,24
10/4/2020,66,46,45,58,27
10/11/2020,67,42,43,51,26
10/18/2020,65,41,42,51,28
10/25/2020,62,39,37,45,24
11/1/2020,61,40,43,46,23
11/8/2020,71,40,43,47,25
11/15/2020,69,42,43,47,26
11/22/2020,70,44,45,48,26
11/29/2020,67,38,37,45,22
12/6/2020,66,40,39,47,26
12/13/2020,72,45,40,50,24
12/20/2020,64,37,37,39,18
12/27/2020,58,37,33,35,16
1/3/2021,67,43,36,42,19
1/10/2021,69,43,34,43,22
1/17/2021,72,45,35,41,19
1/24/2021,66,44,34,38,18
1/31/2021,60,44,33,39,17
2/7/2021,63,40,34,39,16
2/14/2021,65,42,36,39,15
2/21/2021,66,45,38,40,17
2/28/2021,63,39,37,39,19
3/7/2021,63,39,39,43,21
3/14/2021,63,42,41,45,22
3/21/2021,65,43,42,47,23
3/28/2021,71,41,40,41,22
4/4/2021,71,41,39,44,22
4/11/2021,61,49,41,41,19
4/18/2021,67,46,41,43,20
4/25/2021,64,46,45,46,22
5/2/2021,56,42,39,40,18
5/9/2021,48,33,30,30,12
5/16/2021,59,46,37,36,16
5/23/2021,59,43,39,38,20
5/30/2021,66,42,38,39,21
6/6/2021,63,44,41,46,24
6/13/2021,64,49,42,41,17
6/20/2021,72,51,45,41,15
6/27/2021,71,45,41,37,14
7/4/2021,63,47,38,39,15
7/11/2021,68,49,40,44,15
7/18/2021,59,45,38,35,11
7/25/2021,60,46,39,34,12
8/1/2021,62,41,34,34,11
8/8/2021,63,44,33,34,11
8/15/2021,57,49,37,31,12
8/22/2021,58,39,33,33,13
8/29/2021,58,42,33,39,15
9/5/2021,58,43,39,40,17
9/12/2021,55,44,41,43,20
9/19/2021,56,45,43,44,18
9/26/2021,60,49,45,46,22
10/3/2021,61,45,49,47,24
10/10/2021,59,44,43,41,25
10/17/2021,58,46,46,43,25
10/24/2021,57,47,50,51,24
10/31/2021,60,46,51,48,24
11/7/2021,61,51,51,47,28
11/14/2021,59,47,47,47,27
11/21/2021,72,49,47,46,26
11/28/2021,73,47,49,45,23
12/5/2021,59,48,45,44,24
12/12/2021,60,45,40,40,20
12/19/2021,61,45,39,33,16
12/26/2021,60,48,39,35,16
1/2/2022,87,79,61,56,28
1/9/2022,84,76,65,55,30
1/16/2022,79,74,60,47,29
1/23/2022,82,77,61,49,29
1/30/2022,75,73,51,43,24
2/6/2022,79,82,60,50,27
2/13/2022,88,88,65,52,29
2/20/2022,85,92,71,51,31
2/27/2022,76,81,70,53,33
3/6/2022,92,96,81,59,46
3/13/2022,93,97,82,62,43
3/20/2022,95,97,82,65,39
3/27/2022,93,92,85,59,42
4/3/2022,88,96,79,60,36
4/10/2022,83,90,67,51,35
4/17/2022,91,90,82,60,40
4/24/2022,75,74,63,53,29
5/1/2022,49,50,42,29,14
5/8/2022,72,77,58,50,29
5/15/2022,76,68,61,53,34
5/22/2022,82,68,63,54,32
5/29/2022,75,77,61,51,30
6/5/2022,89,83,67,55,35
6/12/2022,86,91,71,57,30
6/19/2022,91,92,68,57,26
6/26/2022,84,88,61,45,22
7/3/2022,86,85,60,49,20
7/10/2022,84,88,59,48,20
7/17/2022,85,84,62,48,20
7/24/2022,76,89,64,47,20
7/31/2022,75,72,55,48,18
8/7/2022,78,79,53,43,19
8/14/2022,71,77,56,41,18
8/21/2022,72,77,58,46,24
8/28/2022,71,73,63,47,23
9/4/2022,71,69,66,48,31
9/11/2022,73,73,75,53,36
9/18/2022,77,83,77,52,38
9/25/2022,78,79,92,68,39
10/2/2022,76,89,88,66,44
10/9/2022,80,88,90,60,43
10/16/2022,77,88,89,62,46
10/23/2022,77,87,93,64,53
10/30/2022,76,85,79,64,39
11/6/2022,76,78,82,63,47
11/13/2022,76,85,86,64,46
11/20/2022,73,76,71,60,38
11/27/2022,70,69,75,54,35
12/4/2022,73,74,88,55,37
12/11/2022,71,81,82,56,37
12/18/2022,69,74,66,52,31
12/25/2022,65,66,60,49,24
1/1/2023,71,77,57,48,25
1/8/2023,75,70,63,47,27
1/15/2023,82,71,64,45,29
1/22/2023,77,73,65,47,25
1/29/2023,69,77,69,47,25
2/5/2023,73,76,68,49,28
2/12/2023,66,76,63,46,25
2/19/2023,70,73,72,48,28
2/26/2023,74,71,77,52,33
3/5/2023,74,72,79,53,33
3/12/2023,71,82,68,53,36
3/19/2023,63,64,61,43,24
3/26/2023,65,76,63,45,32
4/2/2023,61,70,61,49,30
4/9/2023,59,66,62,47,26
4/16/2023,50,48,41,32,13
4/23/2023,50,50,42,33,12
4/30/2023,56,57,54,44,21
5/7/2023,62,62,60,51,27
5/14/2023,58,59,58,51,26
5/21/2023,67,65,63,54,29
5/28/2023,64,56,60,48,24
6/4/2023,65,69,69,43,27
6/11/2023,70,73,61,49,21
6/18/2023,69,70,60,44,15
6/25/2023,58,60,51,38,13
7/2/2023,65,67,53,44,15
7/9/2023,69,73,57,45,16
7/16/2023,68,65,51,41,14
7/23/2023,70,70,56,41,20
7/30/2023,63,67,50,41,20
8/6/2023,67,67,51,38,21
8/13/2023,60,65,50,36,17
8/20/2023,67,68,59,43,23
8/27/2023,58,66,59,41,25
9/3/2023,59,68,58,41,33
9/10/2023,61,68,64,48,35
9/17/2023,58,80,64,48,36
9/24/2023,63,72,67,41,35
10/1/2023,58,70,67,47,37
10/8/2023,56,64,66,51,38
10/15/2023,64,61,67,53,37
10/22/2023,68,66,65,51,36
10/29/2023,62,64,67,47,37
11/5/2023,60,64,66,45,33
11/12/2023,60,65,69,48,33
11/19/2023,61,67,67,49,31
11/26/2023,57,62,66,47,32
12/3/2023,68,65,60,48,31
12/10/2023,56,62,53,46,24
12/17/2023,61,62,54,45,20
12/24/2023,50,55,45,34,14
12/31/2023,56,62,51,38,17
1/7/2024,61,71,58,44,21
1/14/2024,61,65,56,45,20
1/21/2024,64,63,60,49,19
1/28/2024,59,75,64,50,21
2/4/2024,60,70,60,48,19
2/11/2024,59,67,56,46,20
2/18/2024,65,69,75,51,24
2/25/2024,66,73,70,59,27
3/3/2024,72,70,71,49,28
3/10/2024,58,68,64,48,22
3/17/2024,63,70,71,54,26
3/24/2024,54,66,67,53,23
3/31/2024,62,69,62,52,17
4/7/2024,35,40,32,35,10
4/14/2024,56,65,53,48,16
4/21/2024,58,65,62,53,28
4/28/2024,56,64,59,49,23
5/5/2024,60,75,66,50,23
5/12/2024,63,74,68,55,29
5/19/2024,65,71,63,51,22
5/26/2024,66,72,69,58,23
6/2/2024,66,70,74,60,24
6/9/2024,71,74,66,60,21
6/16/2024,69,66,54,57,13
6/23/2024,66,76,57,59,14
6/30/2024,65,69,57,56,13
7/7/2024,66,75,58,58,13
7/14/2024,67,72,53,52,15
7/21/2024,67,68,62,49,20
7/28/2024,66,68,59,49,21
8/4/2024,61,74,59,48,24
8/11/2024,57,71,56,46,21
